issue_timestamp_utc,entsoe_fossil_gas_generation_mw,entsoe_fossil_hard_coal_generation_mw,entsoe_fossil_oil_generation_mw,entsoe_fossil_peat_generation_mw,entsoe_hydro_pumped_storage_generation_mw,entsoe_hydro_run_of_river_and_poundage_generation_mw,entsoe_other_generation_mw,entsoe_solar_generation_mw,entsoe_wind_onshore_generation_mw,entsoe_generation_imputed_flag,entsoe_total_generation_mw,entsoe_renewable_generation_mw,entsoe_nonrenewable_generation_mw,entsoe_actual_load_mw,entsoe_load_imputed_flag,entsoe_price_eur_mwh,entsoe_price_hourly_carry_forward_flag,eirgrid_ie_generation_mw,eirgrid_ie_demand_mw,eirgrid_ie_wind_availability_mw,eirgrid_ie_wind_generation_mw,eirgrid_ie_solar_availability_mw,eirgrid_ie_solar_generation_mw,eirgrid_ie_hydro_generation_mw,eirgrid_ewic_flow_mw,eirgrid_greenlink_flow_mw,eirgrid_ie_wind_penetration_ratio,eirgrid_ie_solar_penetration_ratio,eirgrid_all_island_generation_mw,eirgrid_all_island_demand_mw,eirgrid_all_island_wind_availability_mw,eirgrid_all_island_wind_generation_mw,eirgrid_all_island_solar_availability_mw,eirgrid_all_island_solar_generation_mw,eirgrid_all_island_hydro_generation_mw,eirgrid_interjurisdictional_flow_mw,eirgrid_all_island_wind_penetration_ratio,eirgrid_all_island_solar_penetration_ratio,eirgrid_all_island_oversupply_mw,eirgrid_all_island_oversupply_ratio,eirgrid_snsp_ratio,eirgrid_system_imputed_flag,eirgrid_ie_variable_renewable_generation_mw,eirgrid_ie_variable_renewable_availability_mw,eirgrid_ie_renewable_headroom_mw,eirgrid_ie_net_load_mw,eirgrid_ie_renewable_share_ratio,eirgrid_snsp_headroom_to_75pct,entsoe_price_negative_flag,entsoe_price_below_20_flag,high_wind_low_load_interaction,hour_sin,hour_cos,weekday,weekday_sin,weekday_cos,is_weekend,month,wind_lag_1,wind_lag_2,wind_lag_4,wind_lag_12,wind_lag_48,wind_ramp_30m,wind_ramp_60m,load_lag_1,load_lag_2,load_lag_4,load_lag_12,load_lag_48,load_ramp_30m,load_ramp_60m,price_lag_1,price_lag_2,price_lag_4,price_lag_12,price_lag_48,price_ramp_30m,price_ramp_60m,snsp_lag_1,snsp_lag_2,snsp_lag_4,snsp_lag_12,snsp_lag_48,snsp_ramp_30m,snsp_ramp_60m,oversupply_lag_1,oversupply_lag_2,oversupply_lag_4,oversupply_lag_12,oversupply_lag_48,oversupply_ramp_30m,oversupply_ramp_60m,dispatch_down_mwh_lag_1,dispatch_down_event_lag_1,dispatch_down_mwh_lag_2,dispatch_down_event_lag_2,dispatch_down_mwh_lag_4,dispatch_down_event_lag_4,dispatch_down_mwh_lag_48,dispatch_down_event_lag_48,wind_rolling_mean_6,wind_rolling_std_6,load_rolling_mean_6,price_rolling_mean_6,price_rolling_std_6,wind_rolling_mean_12,wind_rolling_std_12,load_rolling_mean_12,price_rolling_mean_12,price_rolling_std_12,wind_rolling_mean_48,wind_rolling_std_48,load_rolling_mean_48,price_rolling_mean_48,price_rolling_std_48,high_frequency_min_generation_mwh,rocof_inertia_mwh,snsp_curtailment_mwh,transmission_constraint_mwh,tso_test_mwh,dispatch_down_mwh,curtailment_mwh,constraint_mwh,other_reduction_mwh,forecast_horizon_minutes,target_timestamp_utc,dispatch_down_event,recoverable_surplus_upper_bound_mwh,recoverable_surplus_100mw_flex_mwh
2026-01-02T00:00:00Z,526.529,0.0,0.006,41.339,0.0,63.584,0.0,0.0,1445.882,0,2077.34,1509.4660000000001,567.874,3755.4,0,83.0,0,2503.79,3738.43,1710.38,1564.0349999999999,0.525,4.13,63.405,529.92,513.174,0.418416072995784,0.0011047991080659755,3106.92,4364.7665,2036.6589999999999,1740.5594999999998,1.5670000000000002,4.13,63.405,-391.225,0.39883819854274405,0.0009462694894364098,0.0,0.0,0.6940499999999998,0,1568.165,1710.9050000000002,142.74000000000024,2170.265,0.41947154286692545,0.055950000000000166,0,0,0.41836680103679885,0.0,1.0,4,-0.433883739117558,-0.9009688679024191,0,1,1479.25,1549.48,1628.53,1200.75,1370.85,84.78499999999985,14.554999999999836,3820.585,3920.25,4044.98,4739.355,3893.295,-82.1550000000002,-181.82000000000016,84.49,84.49,85.0,169.8,80.0,-1.4899999999999949,-1.4899999999999949,0.69245,0.6975500000000001,0.6998500000000001,0.58955,0.6409,0.0015999999999998238,-0.0035000000000002807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53600000000002,1,75.01500000000001,1,25.959,1,0.492,1,1552.9175000000002,64.77799354332858,4013.4975,93.72833333333331,13.91878897988852,1418.8237500000002,149.90570451461417,4278.392916666667,120.84416666666665,32.00683114823322,1270.2244791666667,189.44901393823554,3957.8651041666667,99.35979166666668,30.76738883807205,19.999,0.0,0.0,64.736,0.0,84.73399999999997,19.999,64.736,0.0,30,2026-01-02T00:30:00Z,1,84.73399999999997,50.0
2026-01-02T00:00:00Z,526.529,0.0,0.006,41.339,0.0,63.584,0.0,0.0,1445.882,0,2077.34,1509.4660000000001,567.874,3755.4,0,83.0,0,2503.79,3738.43,1710.38,1564.0349999999999,0.525,4.13,63.405,529.92,513.174,0.418416072995784,0.0011047991080659755,3106.92,4364.7665,2036.6589999999999,1740.5594999999998,1.5670000000000002,4.13,63.405,-391.225,0.39883819854274405,0.0009462694894364098,0.0,0.0,0.6940499999999998,0,1568.165,1710.9050000000002,142.74000000000024,2170.265,0.41947154286692545,0.055950000000000166,0,0,0.41836680103679885,0.0,1.0,4,-0.433883739117558,-0.9009688679024191,0,1,1479.25,1549.48,1628.53,1200.75,1370.85,84.78499999999985,14.554999999999836,3820.585,3920.25,4044.98,4739.355,3893.295,-82.1550000000002,-181.82000000000016,84.49,84.49,85.0,169.8,80.0,-1.4899999999999949,-1.4899999999999949,0.69245,0.6975500000000001,0.6998500000000001,0.58955,0.6409,0.0015999999999998238,-0.0035000000000002807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53600000000002,1,75.01500000000001,1,25.959,1,0.492,1,1552.9175000000002,64.77799354332858,4013.4975,93.72833333333331,13.91878897988852,1418.8237500000002,149.90570451461417,4278.392916666667,120.84416666666665,32.00683114823322,1270.2244791666667,189.44901393823554,3957.8651041666667,99.35979166666668,30.76738883807205,101.17199999999998,0.0,0.0,73.565,0.0,174.74000000000007,101.17199999999998,73.565,0.0,60,2026-01-02T01:00:00Z,1,174.74000000000007,50.0
2026-01-02T00:30:00Z,502.124,0.0,0.006,41.339,0.0,63.124,0.0,0.0,1585.254,0,2191.8469999999998,1648.378,543.4689999999998,3672.085,0,83.0,1,2454.7349999999997,3630.63,1769.17,1567.625,0.57,4.1,63.504999999999995,529.975,513.0955,0.4317686748132627,0.0011294256147086476,3084.979,4226.6445,2057.25,1791.5715,1.612,4.1,63.504999999999995,-380.55,0.42387172550513685,0.0009701701231900154,0.0,0.0,0.70415,0,1571.725,1769.74,198.0150000000001,2058.905,0.43290696105083687,0.045849999999999946,0,0,0.43177768045766163,0.13052619222005157,0.9914448613738104,4,-0.433883739117558,-0.9009688679024191,0,1,1564.0349999999999,1479.25,1629.1950000000002,1290.7649999999999,1396.1999999999998,3.5900000000001455,88.375,3738.43,3820.585,3907.19,4674.9,3832.99,-107.79999999999973,-189.95499999999993,83.0,84.49,85.0,169.8,80.0,0.0,-1.4899999999999949,0.6940499999999998,0.69245,0.7166,0.57375,0.6274,0.01010000000000022,0.011700000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.01999999999998,1,117.53600000000002,1,24.541999999999994,1,5.5649999999999995,1,1565.1025,57.219971404217695,3927.539166666667,88.94583333333333,11.168935677434344,1449.0975,138.07806425911966,4194.9825,113.61083333333333,29.659374789074437,1274.2491666666667,193.63792022009304,3954.63875,99.42229166666668,30.730249806130168,101.17199999999998,0.0,0.0,73.565,0.0,174.74000000000007,101.17199999999998,73.565,0.0,30,2026-01-02T01:00:00Z,1,174.74000000000007,50.0
2026-01-02T00:30:00Z,502.124,0.0,0.006,41.339,0.0,63.124,0.0,0.0,1585.254,0,2191.8469999999998,1648.378,543.4689999999998,3672.085,0,83.0,1,2454.7349999999997,3630.63,1769.17,1567.625,0.57,4.1,63.504999999999995,529.975,513.0955,0.4317686748132627,0.0011294256147086476,3084.979,4226.6445,2057.25,1791.5715,1.612,4.1,63.504999999999995,-380.55,0.42387172550513685,0.0009701701231900154,0.0,0.0,0.70415,0,1571.725,1769.74,198.0150000000001,2058.905,0.43290696105083687,0.045849999999999946,0,0,0.43177768045766163,0.13052619222005157,0.9914448613738104,4,-0.433883739117558,-0.9009688679024191,0,1,1564.0349999999999,1479.25,1629.1950000000002,1290.7649999999999,1396.1999999999998,3.5900000000001455,88.375,3738.43,3820.585,3907.19,4674.9,3832.99,-107.79999999999973,-189.95499999999993,83.0,84.49,85.0,169.8,80.0,0.0,-1.4899999999999949,0.6940499999999998,0.69245,0.7166,0.57375,0.6274,0.01010000000000022,0.011700000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.01999999999998,1,117.53600000000002,1,24.541999999999994,1,5.5649999999999995,1,1565.1025,57.219971404217695,3927.539166666667,88.94583333333333,11.168935677434344,1449.0975,138.07806425911966,4194.9825,113.61083333333333,29.659374789074437,1274.2491666666667,193.63792022009304,3954.63875,99.42229166666668,30.730249806130168,142.60399999999998,0.0,0.0,53.937999999999995,0.0,196.5409999999999,142.60399999999998,53.937999999999995,0.0,60,2026-01-02T01:30:00Z,1,196.5409999999999,50.0
2026-01-02T01:00:00Z,484.406,0.0,0.006,41.27,0.0,63.568,0.0,0.0,1513.85,0,2103.1,1577.418,525.682,3559.57,0,83.745,0,2471.035,3560.335,1862.79,1537.865,0.52,4.12,63.790000000000006,495.255,513.239,0.4319663136212861,0.0011572328254559215,3098.914,4168.201999999999,2177.4595,1741.0655,1.562,4.12,63.790000000000006,-365.03,0.4177123073389077,0.0009884586268742949,0.0,0.0,0.6887,0,1541.985,1863.31,321.32500000000005,2018.3500000000001,0.43310109863257246,0.06130000000000002,0,0,0.43194390415508654,0.25881904510252074,0.9659258262890683,4,-0.433883739117558,-0.9009688679024191,0,1,1567.625,1564.0349999999999,1549.48,1279.135,1356.8600000000001,-29.75999999999999,-26.169999999999845,3630.63,3738.43,3920.25,4592.77,3758.925,-70.29500000000007,-178.0949999999998,83.0,83.0,84.49,140.43,85.43,0.7450000000000045,0.7450000000000045,0.70415,0.6940499999999998,0.6975500000000001,0.57585,0.6339,-0.015450000000000075,-0.005349999999999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73399999999997,1,74.01999999999998,1,75.01500000000001,1,4.55,1,1569.6858333333332,55.90540487436029,3843.6775,84.16333333333333,0.9295303473611873,1472.1691666666668,132.22330842234916,4107.96,106.3775,24.915148686911447,1277.8205208333331,197.47773531178618,3950.4229166666664,99.48479166666668,30.692935859213623,142.60399999999998,0.0,0.0,53.937999999999995,0.0,196.5409999999999,142.60399999999998,53.937999999999995,0.0,30,2026-01-02T01:30:00Z,1,196.5409999999999,50.0
2026-01-02T01:00:00Z,484.406,0.0,0.006,41.27,0.0,63.568,0.0,0.0,1513.85,0,2103.1,1577.418,525.682,3559.57,0,83.745,0,2471.035,3560.335,1862.79,1537.865,0.52,4.12,63.790000000000006,495.255,513.239,0.4319663136212861,0.0011572328254559215,3098.914,4168.201999999999,2177.4595,1741.0655,1.562,4.12,63.790000000000006,-365.03,0.4177123073389077,0.0009884586268742949,0.0,0.0,0.6887,0,1541.985,1863.31,321.32500000000005,2018.3500000000001,0.43310109863257246,0.06130000000000002,0,0,0.43194390415508654,0.25881904510252074,0.9659258262890683,4,-0.433883739117558,-0.9009688679024191,0,1,1567.625,1564.0349999999999,1549.48,1279.135,1356.8600000000001,-29.75999999999999,-26.169999999999845,3630.63,3738.43,3920.25,4592.77,3758.925,-70.29500000000007,-178.0949999999998,83.0,83.0,84.49,140.43,85.43,0.7450000000000045,0.7450000000000045,0.70415,0.6940499999999998,0.6975500000000001,0.57585,0.6339,-0.015450000000000075,-0.005349999999999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73399999999997,1,74.01999999999998,1,75.01500000000001,1,4.55,1,1569.6858333333332,55.90540487436029,3843.6775,84.16333333333333,0.9295303473611873,1472.1691666666668,132.22330842234916,4107.96,106.3775,24.915148686911447,1277.8205208333331,197.47773531178618,3950.4229166666664,99.48479166666668,30.692935859213623,213.50099999999998,0.0,0.0,16.309,0.0,229.80899999999997,213.50099999999998,16.309,0.0,60,2026-01-02T02:00:00Z,1,229.80899999999997,50.0
2026-01-02T01:30:00Z,531.053,0.0,0.006,41.27,0.0,63.932,0.0,0.0,1545.441,0,2181.702,1609.373,572.3290000000002,3513.117,0,83.745,1,2466.85,3473.5249999999996,1911.4,1540.8600000000001,0.475,4.105,63.595,427.565,513.305,0.4435771599082945,0.0011818175917221924,3092.0535,4065.515,2311.5585,1745.209,1.517,4.105,63.595,-378.755,0.4292551620983775,0.0010097291136786676,0.0,0.0,0.68655,0,1544.9650000000001,1911.875,366.90999999999985,1928.5599999999995,0.444783037404366,0.06345,0,0,0.4436012408144465,0.3826834323650898,0.9238795325112867,4,-0.433883739117558,-0.9009688679024191,0,1,1537.865,1567.625,1479.25,1287.625,1391.1399999999999,2.9950000000001182,-26.764999999999873,3560.335,3630.63,3820.585,4497.95,3673.995,-86.8100000000004,-157.10500000000047,83.745,83.0,84.49,140.43,85.43,0.0,0.7450000000000045,0.6887,0.70415,0.69245,0.59005,0.6573,-0.0021499999999999853,-0.01760000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.74000000000007,1,84.73399999999997,1,117.53600000000002,1,3.2809999999999997,1,1554.575,48.59419152532039,3762.903333333333,83.95416666666667,0.840549919198967,1493.7299999999998,118.2402618707896,4021.9237500000004,101.65375,23.1856195757981,1281.5914583333333,200.72071009653638,3946.2856250000004,99.4496875,30.71031130817379,213.50099999999998,0.0,0.0,16.309,0.0,229.80899999999997,213.50099999999998,16.309,0.0,30,2026-01-02T02:00:00Z,1,229.80899999999997,50.0
2026-01-02T01:30:00Z,531.053,0.0,0.006,41.27,0.0,63.932,0.0,0.0,1545.441,0,2181.702,1609.373,572.3290000000002,3513.117,0,83.745,1,2466.85,3473.5249999999996,1911.4,1540.8600000000001,0.475,4.105,63.595,427.565,513.305,0.4435771599082945,0.0011818175917221924,3092.0535,4065.515,2311.5585,1745.209,1.517,4.105,63.595,-378.755,0.4292551620983775,0.0010097291136786676,0.0,0.0,0.68655,0,1544.9650000000001,1911.875,366.90999999999985,1928.5599999999995,0.444783037404366,0.06345,0,0,0.4436012408144465,0.3826834323650898,0.9238795325112867,4,-0.433883739117558,-0.9009688679024191,0,1,1537.865,1567.625,1479.25,1287.625,1391.1399999999999,2.9950000000001182,-26.764999999999873,3560.335,3630.63,3820.585,4497.95,3673.995,-86.8100000000004,-157.10500000000047,83.745,83.0,84.49,140.43,85.43,0.0,0.7450000000000045,0.6887,0.70415,0.69245,0.59005,0.6573,-0.0021499999999999853,-0.01760000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.74000000000007,1,84.73399999999997,1,117.53600000000002,1,3.2809999999999997,1,1554.575,48.59419152532039,3762.903333333333,83.95416666666667,0.840549919198967,1493.7299999999998,118.2402618707896,4021.9237500000004,101.65375,23.1856195757981,1281.5914583333333,200.72071009653638,3946.2856250000004,99.4496875,30.71031130817379,193.11999999999992,0.0,0.0,11.146999999999997,0.0,204.26800000000003,193.11999999999992,11.146999999999997,0.0,60,2026-01-02T02:30:00Z,1,204.26800000000003,50.0
2026-01-02T02:00:00Z,478.762,0.0,0.006,41.339,0.0,62.991,0.0,0.0,1520.664,0,2103.7619999999997,1583.655,520.1069999999997,3451.336,0,81.25,0,2434.435,3511.035,1966.7150000000001,1521.0749999999998,0.525,4.125,63.735,523.825,513.241,0.43322182378968543,0.0011748709762251048,3052.881,4093.2695000000003,2339.8735,1723.2934999999998,1.5670000000000002,4.125,63.735,-364.265,0.4209988348218303,0.001007763026274013,0.0,0.0,0.6937500000000001,0,1525.1999999999998,1967.2400000000002,442.0400000000004,1985.835,0.43440182168505864,0.05624999999999991,0,0,0.43322695444505677,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,0,1,1540.8600000000001,1537.865,1564.0349999999999,1319.865,1490.45,-19.78500000000031,-16.79000000000019,3473.5249999999996,3560.335,3738.43,4425.86,3687.56,37.51000000000022,-49.30000000000018,83.745,83.745,83.0,133.65,84.315,-2.4950000000000045,-2.4950000000000045,0.68655,0.6887,0.6940499999999998,0.60715,0.66445,0.007200000000000095,0.00505000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.5409999999999,1,174.74000000000007,1,74.01999999999998,1,4.023,1,1539.8525,32.02006257800813,3690.6258333333335,83.745,0.6663482572939631,1514.8329166666665,99.17217515417721,3936.555,96.92999999999999,20.141911302284257,1284.710625,203.6019298690697,3942.109166666667,99.41458333333334,30.727635974618227,193.11999999999992,0.0,0.0,11.146999999999997,0.0,204.26800000000003,193.11999999999992,11.146999999999997,0.0,30,2026-01-02T02:30:00Z,1,204.26800000000003,50.0
2026-01-02T02:00:00Z,478.762,0.0,0.006,41.339,0.0,62.991,0.0,0.0,1520.664,0,2103.7619999999997,1583.655,520.1069999999997,3451.336,0,81.25,0,2434.435,3511.035,1966.7150000000001,1521.0749999999998,0.525,4.125,63.735,523.825,513.241,0.43322182378968543,0.0011748709762251048,3052.881,4093.2695000000003,2339.8735,1723.2934999999998,1.5670000000000002,4.125,63.735,-364.265,0.4209988348218303,0.001007763026274013,0.0,0.0,0.6937500000000001,0,1525.1999999999998,1967.2400000000002,442.0400000000004,1985.835,0.43440182168505864,0.05624999999999991,0,0,0.43322695444505677,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,0,1,1540.8600000000001,1537.865,1564.0349999999999,1319.865,1490.45,-19.78500000000031,-16.79000000000019,3473.5249999999996,3560.335,3738.43,4425.86,3687.56,37.51000000000022,-49.30000000000018,83.745,83.745,83.0,133.65,84.315,-2.4950000000000045,-2.4950000000000045,0.68655,0.6887,0.6940499999999998,0.60715,0.66445,0.007200000000000095,0.00505000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.5409999999999,1,174.74000000000007,1,74.01999999999998,1,4.023,1,1539.8525,32.02006257800813,3690.6258333333335,83.745,0.6663482572939631,1514.8329166666665,99.17217515417721,3936.555,96.92999999999999,20.141911302284257,1284.710625,203.6019298690697,3942.109166666667,99.41458333333334,30.727635974618227,206.54800000000003,0.0,0.0,24.337,0.0,230.88300000000004,206.54800000000003,24.337,0.0,60,2026-01-02T03:00:00Z,1,230.88300000000004,50.0
