source_id,provider,report,year,url,relative_path,licence_note,schema_version,local_path,bytes,sha256,retrieved_at_utc,first_interval_utc,last_interval_utc,row_count,published_at_utc
open_meteo_ecmwf_run_20260104t0600z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-04T06%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T0600Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T0600Z_fh14.json,7653,7e0b701debc86a52794c5f6284a972b3087522e3623b09ca4a9e44f7774e9555,2026-09-24T13:27:04Z,2026-01-04T06:00:00+00:00,2026-01-04T19:00:00+00:00,84,2026-01-04T12:00:00+00:00
open_meteo_ecmwf_run_20260104t1200z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-04T12%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T1200Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T1200Z_fh14.json,7636,86397fee08c21e22c0b05a30adac2c1087fa5be70e171a04761ae6412d529bfa,2026-09-24T13:26:54Z,2026-01-04T12:00:00+00:00,2026-01-05T01:00:00+00:00,84,2026-01-04T18:00:00+00:00
open_meteo_ecmwf_run_20260104t1800z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-04T18%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T1800Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260104T1800Z_fh14.json,7603,0e53acd81e6b76594a572495f9d7fcf5c8f8baa8026822446cdd4665e8cb962a,2026-09-24T13:26:54Z,2026-01-04T18:00:00+00:00,2026-01-05T07:00:00+00:00,84,2026-01-05T00:00:00+00:00
open_meteo_ecmwf_run_20260105t0000z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-05T00%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T0000Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T0000Z_fh14.json,7610,c5ae12a492f7d638818c9ff26476a241c56d8fbab3d540afd776c23456e8429d,2026-09-24T13:26:55Z,2026-01-05T00:00:00+00:00,2026-01-05T13:00:00+00:00,84,2026-01-05T06:00:00+00:00
open_meteo_ecmwf_run_20260105t0600z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-05T06%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T0600Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T0600Z_fh14.json,7610,ea6ae7ee3e2248513ac7856834794dc1c2d11a7ee4d12d9bc1eadb61b449a103,2026-09-24T13:26:55Z,2026-01-05T06:00:00+00:00,2026-01-05T19:00:00+00:00,84,2026-01-05T12:00:00+00:00
open_meteo_ecmwf_run_20260105t1200z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-05T12%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T1200Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T1200Z_fh14.json,7619,a6605313af86af0f3325fac541e3f261e6b5131c926d23daef457e89dfe24b1a,2026-09-24T13:26:55Z,2026-01-05T12:00:00+00:00,2026-01-06T01:00:00+00:00,84,2026-01-05T18:00:00+00:00
open_meteo_ecmwf_run_20260105t1800z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-05T18%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T1800Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260105T1800Z_fh14.json,7629,61deb2a1b48a10d820a1f7dcec1215c58b35a6f5d7cd2f1d6e4af4b117ae2001,2026-09-24T13:27:06Z,2026-01-05T18:00:00+00:00,2026-01-06T07:00:00+00:00,84,2026-01-06T00:00:00+00:00
open_meteo_ecmwf_run_20260106t0000z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-06T00%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T0000Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T0000Z_fh14.json,7710,d04d420c04b887611d550f407649d9ebc7090ce81e58b3fcd62e357089de5ee5,2026-09-24T13:27:15Z,2026-01-06T00:00:00+00:00,2026-01-06T13:00:00+00:00,84,2026-01-06T06:00:00+00:00
open_meteo_ecmwf_run_20260106t0600z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-06T06%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T0600Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T0600Z_fh14.json,7711,ae7177bbb075cbd2456b745e4120ad7c4185ee8dc87a7d56bb9d35fa9aa821ae,2026-09-24T13:27:04Z,2026-01-06T06:00:00+00:00,2026-01-06T19:00:00+00:00,84,2026-01-06T12:00:00+00:00
open_meteo_ecmwf_run_20260106t1200z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-06T12%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T1200Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T1200Z_fh14.json,7664,47ed0d9e21b964cf7739091468333788c2de6bcfc3cb2bc6dc7e79cec8758639,2026-09-24T13:27:05Z,2026-01-06T12:00:00+00:00,2026-01-07T01:00:00+00:00,84,2026-01-06T18:00:00+00:00
open_meteo_ecmwf_run_20260106t1800z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-06T18%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T1800Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260106T1800Z_fh14.json,7634,b3e2d34dcc3f3cfe3cbbfbfebaf3b1175d19c4d8de33db2b53fb8c3a5ee5c017,2026-09-24T13:27:05Z,2026-01-06T18:00:00+00:00,2026-01-07T07:00:00+00:00,84,2026-01-07T00:00:00+00:00
open_meteo_ecmwf_run_20260107t0000z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-07T00%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260107T0000Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260107T0000Z_fh14.json,7660,04763db8f1c65fb0f1bc4acb9b8ebd6f5218f484ee0503cf53a2458bafb7546e,2026-09-24T13:27:05Z,2026-01-07T00:00:00+00:00,2026-01-07T13:00:00+00:00,84,2026-01-07T06:00:00+00:00
open_meteo_ecmwf_run_20260107t0600z_fh14,Open-Meteo / ECMWF,ecmwf_ifs_single_run,2026,https://single-runs-api.open-meteo.com/v1/forecast?latitude=54.8%2C53.35%2C52.2%2C53.2%2C53.35%2C52.3&longitude=-7.8%2C-9.05%2C-9.7%2C-7.7%2C-6.3%2C-6.5&hourly=wind_speed_100m%2Cwind_direction_100m%2Cwind_gusts_10m%2Ctemperature_2m%2Cpressure_msl%2Ccloud_cover%2Cshortwave_radiation&models=ecmwf_ifs&timezone=GMT&wind_speed_unit=ms&cell_selection=land&run=2026-01-07T06%3A00&forecast_hours=14,weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260107T0600Z_fh14.json,"Open-Meteo/ECMWF weather data: CC BY 4.0 with attribution; this project modifies it through interpolation, weighting, and feature engineering.",regional-weather-v1,data/raw/weather/open_meteo/single_runs/2026/01/ecmwf_ifs_20260107T0600Z_fh14.json,7697,d9f61ca78f36ac1b93a6fc8fe0cbacaa4cbe3b514f273e4e3449780a5d5ff39c,2026-09-24T13:27:06Z,2026-01-07T06:00:00+00:00,2026-01-07T19:00:00+00:00,84,2026-01-07T12:00:00+00:00
